topic,mode,k,recall,direction_recall_at_100,n_source_units_total,n_contrasts_total,top10
IFN,RNA-seq only,10,0.2857142857142857,0.9285714285714286,2,7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1
IFN,RNA-seq only,20,0.4285714285714285,0.9285714285714286,2,7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1
IFN,RNA-seq only,50,0.8214285714285714,0.9285714285714286,2,7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1
IFN,RNA-seq only,100,0.9285714285714286,0.9285714285714286,2,7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1
IFN,RNA-seq + microarray,10,0.3571428571428571,0.9285714285714286,3,8,CMPK2;RSAD2;IFI44L;IFIT1;OASL;IFI27;OAS2;OAS3;IFI6;HERC5
IFN,RNA-seq + microarray,20,0.6071428571428571,0.9285714285714286,3,8,CMPK2;RSAD2;IFI44L;IFIT1;OASL;IFI27;OAS2;OAS3;IFI6;HERC5
IFN,RNA-seq + microarray,50,0.7857142857142857,0.9285714285714286,3,8,CMPK2;RSAD2;IFI44L;IFIT1;OASL;IFI27;OAS2;OAS3;IFI6;HERC5
IFN,RNA-seq + microarray,100,0.9285714285714286,0.9285714285714286,3,8,CMPK2;RSAD2;IFI44L;IFIT1;OASL;IFI27;OAS2;OAS3;IFI6;HERC5
ER stress,RNA-seq only,10,0.21875,0.59375,3,6,HSPA5;KLHDC7B;OSCAR;HSP90B1;PDIA4;HERPUD1;HYOU1;CRELD2;CALR;DDIT3
ER stress,RNA-seq only,20,0.34375,0.59375,3,6,HSPA5;KLHDC7B;OSCAR;HSP90B1;PDIA4;HERPUD1;HYOU1;CRELD2;CALR;DDIT3
ER stress,RNA-seq only,50,0.5,0.59375,3,6,HSPA5;KLHDC7B;OSCAR;HSP90B1;PDIA4;HERPUD1;HYOU1;CRELD2;CALR;DDIT3
ER stress,RNA-seq only,100,0.59375,0.59375,3,6,HSPA5;KLHDC7B;OSCAR;HSP90B1;PDIA4;HERPUD1;HYOU1;CRELD2;CALR;DDIT3
ER stress,RNA-seq + microarray,10,0.25,0.78125,4,8,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1
ER stress,RNA-seq + microarray,20,0.40625,0.78125,4,8,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1
ER stress,RNA-seq + microarray,50,0.59375,0.78125,4,8,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1
ER stress,RNA-seq + microarray,100,0.78125,0.78125,4,8,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1
Hypoxia,RNA-seq only,10,0.2121212121212121,0.8484848484848485,15,19,EGLN3;NDRG1;ANGPTL4;PFKFB4;TMEM45A;AK4;ANKRD37;HK2;ADM;VEGFA
Hypoxia,RNA-seq only,20,0.3636363636363636,0.8484848484848485,15,19,EGLN3;NDRG1;ANGPTL4;PFKFB4;TMEM45A;AK4;ANKRD37;HK2;ADM;VEGFA
Hypoxia,RNA-seq only,50,0.7575757575757576,0.8484848484848485,15,19,EGLN3;NDRG1;ANGPTL4;PFKFB4;TMEM45A;AK4;ANKRD37;HK2;ADM;VEGFA
Hypoxia,RNA-seq only,100,0.8484848484848485,0.8484848484848485,15,19,EGLN3;NDRG1;ANGPTL4;PFKFB4;TMEM45A;AK4;ANKRD37;HK2;ADM;VEGFA
Hypoxia,RNA-seq + microarray,10,0.2121212121212121,0.8484848484848485,17,21,EGLN3;ANGPTL4;NDRG1;TMEM45A;PFKFB4;ANKRD37;ADM;HK2;VEGFA;AK4
Hypoxia,RNA-seq + microarray,20,0.3636363636363636,0.8484848484848485,17,21,EGLN3;ANGPTL4;NDRG1;TMEM45A;PFKFB4;ANKRD37;ADM;HK2;VEGFA;AK4
Hypoxia,RNA-seq + microarray,50,0.7575757575757576,0.8484848484848485,17,21,EGLN3;ANGPTL4;NDRG1;TMEM45A;PFKFB4;ANKRD37;ADM;HK2;VEGFA;AK4
Hypoxia,RNA-seq + microarray,100,0.8484848484848485,0.8484848484848485,17,21,EGLN3;ANGPTL4;NDRG1;TMEM45A;PFKFB4;ANKRD37;ADM;HK2;VEGFA;AK4
